Filename,Gate count,Depth,2qb gate count,2qb depth,Time elapsed
xor5_254.qasm,11.0,9.0,9.0,9.0,0.0133117300000003
ex1_226.qasm,11.0,9.0,9.0,9.0,0.01012660700000012
graycode6_47.qasm,5.0,5.0,5.0,5.0,0.010621435000000012
4gt11_84.qasm,17.0,14.0,10.0,10.0,0.013894049999999769
ex-1_166.qasm,21.0,16.0,12.0,12.0,0.015533596000000038
4mod5-v0_20.qasm,20.0,16.0,11.0,10.0,0.013087003999999958
4mod5-v1_22.qasm,25.0,19.0,16.0,15.0,0.014273645000000279
ham3_102.qasm,21.0,17.0,14.0,14.0,0.01370371100000023
mod5d1_63.qasm,29.0,24.0,21.0,19.0,0.0126810690000001
4gt11_83.qasm,26.0,22.0,18.0,18.0,0.013416661000000385
4mod5-v1_24.qasm,40.0,31.0,26.0,24.0,0.04587315699999994
rd32-v1_68.qasm,28.0,18.0,18.0,14.0,0.01563006300000014
mod5mils_65.qasm,32.0,26.0,18.0,18.0,0.013940446000000328
4mod5-v0_19.qasm,33.0,24.0,19.0,16.0,0.015111722999999966
rd32-v0_66.qasm,28.0,18.0,18.0,14.0,0.015431568999999978
alu-v0_27.qasm,45.0,34.0,30.0,27.0,0.014544380000000245
alu-v1_29.qasm,45.0,34.0,30.0,27.0,0.016632446000000023
alu-v2_33.qasm,42.0,30.0,27.0,24.0,0.015318878999999619
3_17_13.qasm,38.0,33.0,24.0,24.0,0.015396518000000192
alu-v1_28.qasm,45.0,33.0,31.0,27.0,0.015278406999999827
alu-v3_35.qasm,50.0,36.0,32.0,29.0,0.01627026900000006
alu-v4_37.qasm,50.0,36.0,32.0,29.0,0.017813555000000036
4gt11_82.qasm,26.0,20.0,18.0,17.0,0.013775480000000062
decod24-v2_43.qasm,47.0,38.0,29.0,28.0,0.021030188000000116
miller_11.qasm,53.0,42.0,30.0,30.0,0.0208232559999999
decod24-v0_38.qasm,48.0,35.0,28.0,27.0,0.024457724999999986
alu-v3_34.qasm,63.0,50.0,42.0,40.0,0.018129532000000115
mod5d2_64.qasm,64.0,54.0,44.0,43.0,0.01738850100000011
4gt13_92.qasm,70.0,53.0,44.0,38.0,0.05211535499999975
4gt13-v1_93.qasm,67.0,53.0,40.0,37.0,0.052712153999999956
4mod5-bdd_287.qasm,92.0,70.0,61.0,54.0,0.02189737299999983
4mod5-v0_18.qasm,71.0,59.0,49.0,48.0,0.02311828100000035
one-two-three-v2_100.qasm,76.0,56.0,50.0,45.0,0.022550357999999715
one-two-three-v3_101.qasm,68.0,53.0,42.0,39.0,0.020102345999999827
4mod5-v1_23.qasm,84.0,64.0,55.0,50.0,0.022602410999999822
decod24-bdd_294.qasm,80.0,65.0,51.0,49.0,0.022078892999999766
rd32_270.qasm,94.0,75.0,61.0,59.0,0.024670056000000162
4gt5_75.qasm,113.0,92.0,78.0,73.0,0.026062989000000147
alu-v0_26.qasm,115.0,87.0,79.0,71.0,0.023334574999999802
decod24-v1_41.qasm,100.0,80.0,63.0,60.0,0.06229515000000019
alu-bdd_288.qasm,110.0,77.0,76.0,57.0,0.05647522899999968
4gt5_76.qasm,112.0,87.0,81.0,73.0,0.02916341099999986
4gt13_91.qasm,119.0,97.0,81.0,78.0,0.03111328999999996
alu-v4_36.qasm,119.0,94.0,77.0,71.0,0.06023479299999979
4gt13_90.qasm,127.0,103.0,89.0,84.0,0.03223223899999983
4gt5_77.qasm,124.0,96.0,77.0,70.0,0.03203305499999942
one-two-three-v1_99.qasm,166.0,125.0,111.0,96.0,0.06736614599999946
rd53_138.qasm,149.0,104.0,100.0,81.0,0.03516469699999991
